ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,FactValueNumeric,Value,Language,DateModified
WPR,Western Pacific,Country,WSM,Samoa,Year,2020,TRUE,30.58,30.58,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,SMR,San Marino,Year,2023,TRUE,94.36,94.36,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,STP,Sao Tome and Principe,Year,2022,TRUE,21.65,21.65,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2023,TRUE,65.57,65.57,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,SEN,Senegal,Year,2023,TRUE,4.24,4.24,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,SRB,Serbia,Year,2022,TRUE,66.89,66.89,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,SYC,Seychelles,Year,2023,TRUE,73.2,73.2,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,SLE,Sierra Leone,Year,2022,TRUE,11.63,11.63,EN,2025-01-13T17:00:00.000Z
WPR,Western Pacific,Country,SGP,Singapore,Year,2022,TRUE,65.59,65.59,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,SVK,Slovakia,Year,2022,TRUE,60.14,60.14,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,SVN,Slovenia,Year,2022,TRUE,105.6,105.63,EN,2025-01-13T17:00:00.000Z
WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2023,TRUE,20.01,20.01,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2014,TRUE,2.61,2.61,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,ZAF,South Africa,Year,2022,TRUE,63.93,63.93,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,SSD,South Sudan,Year,2022,TRUE,6.91,6.91,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,ESP,Spain,Year,2022,TRUE,64.06,64.06,EN,2025-01-13T17:00:00.000Z
SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2023,TRUE,22.58,22.58,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2018,TRUE,10.83,10.83,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,SUR,Suriname,Year,2023,TRUE,17.27,17.27,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,SWE,Sweden,Year,2021,TRUE,116.7,116.65,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,CHE,Switzerland,Year,2022,TRUE,187.6,187.6,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2021,TRUE,17.57,17.57,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,TJK,Tajikistan,Year,2023,TRUE,64.53,64.53,EN,2025-01-13T17:00:00.000Z
SEAR,South-East Asia,Country,THA,Thailand,Year,2023,TRUE,35.72,35.72,EN,2025-01-13T17:00:00.000Z
SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2020,TRUE,17.38,17.38,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,TGO,Togo,Year,2022,TRUE,4.94,4.94,EN,2025-01-13T17:00:00.000Z
WPR,Western Pacific,Country,TON,Tonga,Year,2021,TRUE,41.99,41.99,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2023,TRUE,41.08,41.08,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2021,TRUE,21.61,21.61,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,TUR,Türkiye,Year,2022,TRUE,34.83,34.83,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,TKM,Turkmenistan,Year,2023,TRUE,34.88,34.88,EN,2025-01-13T17:00:00.000Z
WPR,Western Pacific,Country,TUV,Tuvalu,Year,2020,TRUE,39.42,39.42,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,UGA,Uganda,Year,2022,TRUE,22.65,22.65,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,UKR,Ukraine,Year,2023,TRUE,60.79,60.79,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2022,TRUE,61.87,61.87,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2023,TRUE,95.49,95.49,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2023,TRUE,6.93,6.93,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,USA,United States of America,Year,2022,TRUE,133.8,133.76,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,URY,Uruguay,Year,2022,TRUE,73.86,73.86,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,UZB,Uzbekistan,Year,2020,TRUE,110.8,110.83,EN,2025-01-13T17:00:00.000Z
WPR,Western Pacific,Country,VUT,Vanuatu,Year,2019,TRUE,14.59,14.59,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2018,TRUE,20.03,20.03,EN,2025-01-13T17:00:00.000Z
WPR,Western Pacific,Country,VNM,Viet Nam,Year,2016,TRUE,14.41,14.41,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2023,TRUE,5.41,5.41,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,ZMB,Zambia,Year,2022,TRUE,29.36,29.36,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,ZWE,Zimbabwe,Year,2022,TRUE,30.71,30.71,EN,2025-01-13T17:00:00.000Z
